Begin,End,Event-no-links,Event_link_1,details_link,Theater,Source,Source URL
01/01/1871,,"Prussia and the other German states are unified as a single nation. Wilhelm I of Prussia becomes Kaiser (Emperor) of Germany, with Prince Otto von Bismarck as Chancellor .",1,,Political,,
01/10/1879,,Dual Alliance signed between Germany and Austria-Hungary,2,,Political,,
01/05/1882,,Italy joins Germany and Austria-Hungary to form the Triple Alliance,3,,Political,,
01/06/1887,,"Known as 'The Reinsurance Treaty', a pact is signed between Germany and Russia agreeing not to attack one another",4,,Political,,
01/06/1888,,29-year-old Wilhelm II succeeds his father as Kaiser of Germany,5,,Social,,
01/03/1890,,Bismarck dismissed as Chancellor of Germany by Kaiser Wilhelm II,6,,Social,,
01/06/1890,,Germany decides not to renew 'The Reinsurance Treaty' with Russia,7,,Political,,
01/01/1894,,Alliance signed between France and Russia,8,,Political,,
01/11/1894,,Nicholas II becomes Tsar of Russia,9,,Social,,
01/03/1898,,Germany passes its first law to build large numbers of warships. This challenge to Britain's long-s tanding naval supremacy begins an arms race between the two countries. Other laws for the building of more ships follow in later years.,10,,Naval,,
01/04/1898,31/08/1898,"Spanish-American War. USA defeats Spain, taking control of Cuba, Puerto Rico and the Philippines, and becoming a major player on the world stage.",11,,Military,,
01/01/1899,31/12/1901,"Uprising in China by the 'Boxers', a nationalist group seeking to end foreign domination of the country",12,,Social,,
01/01/1899,31/12/1902,"Anglo-Boer War. After a long struggle, Britain re-establishes control over the Boers in South Africa.",13,,Military,,
01/01/1901,,Queen Victoria dies. Edward VII becomes King of Great Britain and Ireland.,14,,Social,,
01/12/1901,,Guglielmo Marconi sends the first message across the Atlantic using wireless telegraphy,15,,Social,,
01/01/1902,,"Anglo-Japanese Alliance signed, ending Britain's years of 'splendid isolation'",16,,Political,,
01/10/1903,,Women's Social and Political Union formed in Manchester under the leadership of Emmeline and Christabel Pankhurst. Begins a militant campaign for women's right to vote.,17,,Social,,
01/04/1904,,"Known as the 'Entente Cordiale', a political understanding is reached between Britain and France ending years of tension and mistrust",18,,Political,,
01/06/1904,,"Systematic killing of the Herero and Nama people by the German Army in German South-West Africa, the first recognised genocide of the twentieth century",19,,Social,,
01/01/1904,31/12/1905,Russo-Japanese War in Manchuria. Japan defeats Russia.,20,,Military,,
01/01/1905,,"Revolution in Russia is fiercely crushed by government troops, but leads to limited political reforms",21,,Social,,
01/12/1905,,Liberal Party wins the British general election and forms a government led by Sir Henry Campbell-Bannerman,22,,Social,,
01/02/1906,,"Britain launches a revolutionary new battleship, HMS Dreadnought. Naval rivalry with Germany intensifies.",23,,Naval,,
01/08/1907,,"Anglo-Russian Entente announced, demonstrating a new political understanding between Britain and Russia",24,,Political,,
01/04/1908,,Herbert Henry Asquith replaces Sir Henry Campbell-Bannerman as British prime minister,25,,Social,,
01/10/1908,,Bosnia-Herzegovina in the Balkans is formally annexed by Austria-Hungary,26,,Political,,
01/07/1909,,"Frenchman Louis Blériot  makes the first successful cross-channel flight in an aeroplane, vindicating the Daily Mail's claim three years earlier, 'Britain No Longer An Island'",27,,Aviation,,
01/05/1910,,King Edward VII dies. George V becomes King of Britain and Ireland.,28,,Social,,
01/12/1911,,George V crowned Emperor of India at the Delhi Durbar,29,,Social,,
01/04/1912,,"Asquith introduces the Third Home Rule Bill into the British parliament, offering limited self-government to Ireland within the United Kingdom. Nationalist and Unionist tensions slowly grow within the country.",30,,Social,,
01/04/1912,,SS Titanic sinks after striking an iceberg in the northern Atlantic. Over 1500 people lose their lives.,31,,Social,,
01/01/1912,31/12/1913,First Balkan War. Turkey loses most of its remaining European territory.,32,,Military,,
01/03/1913,,Woodrow Wilson sworn in as the 28th President of the United States,33,,Social,,
01/06/1913,,Second Balkan War begins. Further outbreak of fighting in the Balkans which lasts until August.,34,,Military,,
01/03/1914,,"Asquith's Home Rule Bill threatened when British officers, serving at the Curragh camp in Ireland, threaten to resign rather than enforce home rule in Ireland",35,,Social,,
02/12/1921,,"Agreement signed partitioning Ireland into the 26 southern counties known as the Irish Free State, and the 6 northern counties of Ulster that remain part of the United Kingdom",36,,Social,,
03/01/1922,,Death of Pope Benedict XV. Succeeded by Pope Pius XI.,37,,Social,,
04/04/1922,,Stalin becomes General Secretary and head of the Communist Party in Soviet Russia,38,,Social,,
05/09/1922,,"Chanak Crisis. At the end of the Graeco-Turkish War, Turkish troops threaten the British and French forces occupying the Dardanelles under the terms of the Treaty of Sèvres.",39,,Military,,
06/10/1922,,David Lloyd George resigns as British Prime Minister when Conservative MPs withdraw support from his coalition government. Succeeded by Andrew Bonar Law.,40,,Social,,
07/10/1922,,"Fascist leader Benito Mussolini, a veteran of the war, becomes Italian Prime Minister",41,,Social,,
08/11/1922,,Rule of the Sultan abolished in Turkey. New government formed.,42,,Social,,
09/01/1923,,French and Belgian troops occupy the German industrial area of the Ruhr to collect material pledged to France and Belgium by the Treaty of Versailles ,43,,Social,,
10/07/1923,,Treaty of Lausanne signed with Turkey after a strong new Turkish government demands a renegotiation of the 1920 agreement and sets new terms,44,,Political,,
11/10/1923,,Turkey established as a secular republic with Mustafa Kemal as its first President,45,,Social,,
12/11/1923,,Adolf Hitler stages his 'Beer Hall Putsch' in Munich in an attempt to seize power,46,,Social,,
13/01/1924,,"Soviet leader Lenin dies of ill health. More than 900,000 mourners pass his body when it lies in state.",47,,Social,,
14/07/1925,,"Written during his imprisonment following the Putsch, Hitler publishes his political testament and autobiography, Mein Kampf (My Struggle)",48,,Social,,
15/12/1925,,Locarno Treaty signed in London reconciling Germany with her former enemies,49,,Political,,
16/05/1926,,The General Strike. British Trades Union Congress supports the striking miners and calls for the first ever General Strike.,50,,Social,,
17/11/1927,,Stalin ruthlessly establishes himself as the unchallenged ruler of the Soviet Union,51,,Social,,
18/07/1928,,"Representation of the People (Equal Franchise) Act comes into effect, extending voting rights in Britain to all women aged over twenty-one",52,,Social,,
19/08/1928,,"Kellogg-Briand pact signed by fifteen countries including the USA, Britain, France, Italy, Germany and Japan, renouncing the war as an instrument of national policy",53,,Political,,
20/09/1928,,"Penicillin, the first anti-biotic drug, discovered by Alexander Fleming at St Mary's Hospital in London",54,,Social,,
21/10/1928,,Stalin introduces the first Five Year Plan to modernise and transform Soviet industry and agriculture,55,,Social,,
22/10/1929,,"Wall Street Crash. As the world economy shows signs of serious strain, the American stock market crashes, wiping millions of dollars off the value of its commodities. Beginning of the Great Depression which lasts for twelve years.",56,,Social,,
23/11/1929,,"Poet Robert Graves publishes his First World War autobiography, Goodbye to All That, symbolising a growing disillusion among many veterans with the outcome of the war",57,,Social,,
28/06/1914,,"Archduke Franz Ferdinand, heir to the Austro-Hungarian throne, assassinated in Sarajevo by Gavrilo Princip. Austria-Hungary blames Serbia for supporting this terrorist attack in Bosnia-Herzegovina.",58,,Political,,
05/07/1914,,Germany promises to support Austria-Hungary in its confrontation with Serbia over the assassination,59,,Political,,
23/07/1914,,Austria-Hungary issues ultimatum to Serbia to accept its terms or face recrimination,60,,Political,,
25/07/1914,,Serbia orders mobilization of its army,61,,Political,,
26/07/1914,,"Austria-Hungary begins mobilization of its army, including along the Russian border",62,,Political,,
28/07/1914,,"Austria-Hungary declares war on Serbia. In self-defence and in support of Serbia, Russia orders partial mobilization of its army.",63,,Political,,
28/07/1914,,"In self-defence and in support of Serbia, Russia orders partial mobilization of its army",64,,Political,,
31/07/1914,,"As Austria-Hungary's ally, Germany demands an end to Russian mobilization",65,,Political,,
31/07/1914,,London stock market closes due to European crisis,66,,Social,,
01/08/1914,,Germany declares war on Russia and begins mobilization,67,,Political,,
02/08/1914,,Germany invades Luxembourg and demands permission to move through neutral Belgium against France,68,,Military,,
03/08/1914,,Germany declares war on France,69,,Political,,
03/08/1914,,Belgium refuses Germany permission to cross its territory to reach France and asserts its neutrality under international treaty,70,,Political,,
03/08/1914,,Britain promises to defend Belgian neutrality,71,,Political,,
04/08/1914,,"Germany declares war on Belgium and invades the country. Over 1 million refugees flee the country over the coming weeks, mostly to the Netherlands but also to France and Britain.",72,,Political,,
04/08/1914,,Britain declares war on Germany,73,,Political,,
05/08/1914,,German mine layer Königen Luise becomes the first naval casualty of the war when sunk in the North Sea by three British ships,74,,Naval,,
06/08/1914,,Austria-Hungary declares war on Russia,75,,Political,,
06/08/1914,,British parliament gives approval for the recruitment of half a million men to begin a rapid expansion of the British Army,76,,Social,,
06/08/1914,,Battle of the Frontiers. Fighting begins between French and German troops along the border linking the two countries. Continues until early September with heavy casualties.,77,,Military,,
07/08/1914,,"British Expeditionary Force (BEF), under the command of Field Marshal Sir John French, begins to land in France. Disembarkation completed on 16 August.",78,,Military,,
07/08/1914,,"The first 'call to arms' issued by the British Secretary of State for War, Field Marshal Lord Kitchener",79,,Social,,
07/08/1914,,British forces enter the German protectorate of Togoland in West Africa. Hostilities also begin in East Africa.,80,,Military,,
08/08/1914,,"The First Defence of the Realm Act (DORA) is passed by the British parliament, giving the government widespread new powers over people's lives",81,,Social,,
12/08/1914,,Britain and France declare war on Austria-Hungary,82,,Political,,
13/08/1914,,Austro-Hungarian forces begin their first invasion of Serbia,83,,Military,,
15/08/1914,,Japan sends Germany an ultimatum demanding the evacuation of its naval base at Tsingtau in China,84,,Political,,
15/08/1914,,Russian Army invades East Prussia in a quick strike against Germany,85,,Military,,
20/08/1914,,Battle of Gumbinnen. Advancing Russian troops drive back German forces in East Prussia.,86,,Military,,
20/08/1914,,"German troops occupy Brussels, the Belgian capital",87,,Military,,
20/08/1914,,Battle of the Ardennes. Intense fighting as the French attempt to advance into Germany. French driven back after suffering severe losses. Continues until 25 August.,88,,Military,,
22/08/1914,,Battle of the Sambre. French troops try to block the German advance north-west of the Ardennes.,89,,Military,,
23/08/1914,,Battle of Mons. Fighting begins for British troops around the Belgian town of Mons. The BEF begins to retreat alongside its French allies.,90,,Military,,
23/08/1914,,European war becomes global when Japan declares war on Germany,91,,Political,,
23/08/1914,,"General Max von Prittwitz replaced in command of the German Army in East Prussia by General Paul von Hindenburg, with General Erich Ludendorff as his chief of staff",92,,Military,,
24/08/1914,,First Indian Army contingent leaves India to serve in France,93,,Social,,
26/08/1914,,Battle of Tannenberg. German armies in East Prussia defeat Russian forces. Battle lasts until 30 August.,94,,Military,,
26/08/1914,,Battle of Le Cateau. Part of the BEF fights a rearguard action against the Germans to allow the main retreat to continue.,95,,Military,,
26/08/1914,,German forces surrender in Togoland,96,,Military,,
28/08/1914,,"100,000 British men already recruited by Kitchener. Immediate calls follow for a second hundred thousand.",97,,Social,,
28/08/1914,,Naval action between British and German ships off the Heligoland Bight in the North Sea. Four German ships sunk.,98,,Naval,,
30/08/1914,,First German aeroplane raid on Paris,99,,Aviation,,
03/09/1914,,Second Battle of Lemberg (or Lvov). Russian forces capture the fourth largest city in Austria-Hungary. Battle lasts until 11 September.,100,,Military,,
03/09/1914,,Benedict XV elected Pope,101,,Social,,
03/09/1914,,"High point of British voluntary recruitment. 33,204 men enlist on this day, almost the entire number of men recruited in a year before the war (35,000).",102,,Social,,
05/09/1914,,"Pact of London signed by the Allied powers of France, Britain and Russia, in which all three agree not to sign a separate peace",103,,Political,,
05/09/1914,,Battle of the Masurian Lakes. German armies in East Prussia defeat Russian forces. Battle lasts until 15 September.,104,,Military,,
06/09/1914,,"Battle of the Marne. French forces, with British support, stop the German advance through northern France only a short distance from Paris and launch a counter-attack. Battle continues until 10 September.",105,,Military,,
13/09/1914,,Battle of the Aisne. German armies stop Franco-British counter-attack astride the River Aisne. The first trenches begin to appear in France. The battle lasts until 15 September.,106,,Military,,
14/09/1914,,General Helmuth von Moltke replaced in command of the German armies in France and Belgium by General Erich von Falkenhayn,107,,Military,,
16/09/1914,,"First battalion of British part-time territorial troops, the 1/14th Battalion, London Regiment –known as the London Scottish– lands in France",108,,Social,,
17/09/1914,,"Known as the 'Race to the Sea', the German, French and British armies move north from the Aisne and try to outflank each other. Continues to 16 October when the lines reach the Belgian coast.",109,,Military,,
22/09/1914,,First British aeroplane raid on Germany against Dusseldorf and Cologne airship sheds,110,,Aviation,,
22/09/1914,,"Three British cruisers, HMS Aboukir, Hogue and Cressy sunk by a German submarine off the German coast",111,,Naval,,
26/09/1914,,First Indian Army troops land in France,112,,Social,,
03/10/1914,,First troops leave Canada and Newfoundland to continue their training in Britain,113,,Social,,
10/10/1914,,German forces take the Belgian city of Antwerp,114,,Military,,
14/10/1914,,First Canadian and Newfoundland troops arrive in Britain,115,,Social,,
16/10/1914,,"An Indian Army force leaves Bombay to secure British interests in the Persian Gulf by landing in Mesopotamia, part of the Ottoman Empire (Turkey)",116,,Military,,
19/10/1914,,"First Battle of Ypres. French and British troops stand firm around the Belgian city of Ypres, preventing the German armies breaking through to the Channel ports. Continues to 22 November.",117,,Military,,
29/10/1914,,Turkey joins the war on the side of Germany and Austria-Hungary. Turkish warships shell Russian coastal towns in the Black Sea.,118,,Political,,
31/10/1914,,The London Scottish become the first battalion of British Territorial troops to go into battle at Messines in Belgium,119,,Military,,
01/11/1914,,Battle of Coronel off the coast of Chile. British squadron of ships defeated by German East Asiatic Squadron.,120,,Naval,,
01/11/1914,,"First Australian and New Zealand troops leave Australia, expecting to continue their training in Britain",121,,Social,,
02/11/1914,,Russia declares war on Turkey,122,,Political,,
02/11/1914,,"Britain declares the North Sea to be a 'military zone', effectively beginning a distant blockade of Germany",123,,Political,,
02/11/1914,,Battle of Tanga. The first action of a long-running campaign in East Africa. German forces led by Colonel Paul von Lettow-Vorbeck defeat British and Indian troops. Fighting continues until 5 November. The campaign lasts until November 1918.,124,,Military,,
03/11/1914,,British ships blockading the Dardanelles bombard the Turkish forts guarding the entrance to the Straits,125,,Naval,,
05/11/1914,,Britain and France declare war on Turkey,126,,Political,,
06/11/1914,,"Indian Army troops land in Mesopotamia to protect British oil interests in neighbouring Persia, and encourage an Arab revolt against Turkish rule",127,,Military,,
07/11/1914,,"Japanese troops, with British support, capture the German naval base of Tsingtau",128,,Military,,
22/11/1914,,British troops enter Basra in Mesopotamia at the head of the Persian Gulf,129,,Military,,
02/12/1914,,"Capture of Belgrade, the Serbian capital, by the Austro-Hungarians",130,,Military,,
03/12/1914,,Troops of the Australian and New Zealand Army Corps (ANZAC) disembark in Egypt to complete their training after it is decided conditions in Britain are unsuitable,131,,Social,,
08/12/1914,,"Battle of the Falklands. In the South Atlantic, a reinforced British naval squadron defeats the German East Asiatic Squadron.",132,,Naval,,
15/12/1914,,Recapture of Belgrade by Serbian forces,133,,Military,,
16/12/1914,,"Bombardment of Scarborough, Hartlepool and Whitby on the British east coast by German battlecruisers. 137 civilians are killed.",134,,Social,,
17/12/1914,,"Turkish forces launch attacks on the Russians in the Caucasus. In difficult conditions, the Russians initially do badly but soon recover. Fighting continues until 18 January 1915.",135,,Military,,
21/12/1914,,First German aircraft raid on British south coast towns,136,,Aviation,,
29/12/1914,,Battle of Sarikamish in the Caucasus. Russian troops initially pushed back by the Turks before the situation is reversed. Battle continues until 2 January 1915. ,137,,Military,,
04/01/1915,,London Stock Exchange reopens for the first time since the outbreak of war,138,,Social,,
19/01/1915,,"German airships raid Britain for the first time, attacking Great Yarmouth and King's Lynn. Five people are killed.",139,,Aviation,,
24/01/1915,,Action of the Dogger Bank. Encounter between British and German battlecruisers in the North Sea.,140,,Naval,,
31/01/1915,,"On the Eastern Front, Germans use asphyxiating gas in artillery shells for the first time at the Battle of Bolimov",141,,Military,,
03/02/1915,,Turkish forces cross the Sinai Desert and assault the Suez Canal. The attack is strongly defeated.,142,,Military,,
04/02/1915,,"Germany announces its first sustained U-boat (submarine) campaign against merchant and passenger ships approaching Britain. Ships will be sunk without warning, including neutral vessels. Continues until September.",143,,Naval,,
08/02/1915,,"Winter Battle of Masuria. In East Prussia, Germans defeat the Russians who begin to retreat. Battle continues until 22 February.",144,,Military,,
19/02/1915,,"Royal Navy ships begin shelling the forts guarding the entrance to the Dardanelles in Turkey. The aim is for the ships to force their way through the Dardanelles and capture the Turkish capital, Constantinople (present day Istanbul).",145,,Naval,,
10/03/1915,,Battle of Neuve Chapelle. British and Indian troops undertake their first offensive in France with limited success.,146,,Military,,
11/03/1915,,Royal Navy warships begin a concerted blockade of Germany and its ports,147,,Naval,,
12/03/1915,,Britain forms the Mediterranean Expeditionary Force under General Sir Ian Hamilton to carry out military operations at the Dardanelles,148,,Military,,
18/03/1915,,British and French warships at the Dardanelles try to force their way through the Narrows. Three ships are sunk; three are badly damaged. Naval operations are suspended.,149,,Naval,,
21/03/1915,,German airships raid Paris for the first time,150,,Aviation,,
22/03/1915,,Russians capture the Austro-Hungarian city of Przemysl,151,,Military,,
22/04/1915,,"Second Battle of Ypres. Germans launch major assault on French, British and Canadian troops around Ypres and use poison gas extensively for the first time. Fighting continues until 27 May.",152,,Military,,
25/04/1915,,"First landing at Gallipoli. British, French, Australian and New Zealand troops land on and around the Gallipoli peninsula in support of the naval attack on the Dardanelles. Fighting continues until January 1916.",153,,Military,,
26/04/1915,,"Italy signs the Pact of London, effectively joining the war on the Allied side. In 1914, Italy had been a member of the Triple Alliance with Germany and Austria-Hungary.",154,,Political,,
02/05/1915,,"Battle of Gorlice–Tarnow. German and Austro-Hungarian armies defeat the Russians in the centre of their line and begin to drive them back. After weeks of retreat, the Russians lose most of their territory in Poland.",155,,Military,,
07/05/1915,,"German submarine U-20 sinks the luxury passenger liner Lusitania off the west coast of Ireland. 1198 people are killed, including 128 US citizens.",156,,Naval,,
09/05/1915,,Second Battle of Artois. French launch attack for limited gains. Battle lasts until 18 June.,157,,Military,,
09/05/1915,,"Battle of Aubers Ridge. To support French operations in Artois, British troops attack in French Flanders but achieve no real gains. Battle continues until 10 May.",158,,Military,,
09/05/1915,,"First units of Kitchener's New Armies, forming the 9th (Scottish) Division, leave Britain for overseas service",159,,Social,,
15/05/1915,,Battle of Festubert. British troops undertake another attack in French Flanders only a short distance from Aubers Ridge. Battle carries on until 25 May.,160,,Military,,
19/05/1915,,"Defence of Anzac. At Gallipoli, Australian and New Zealand troops fight off a very heavy Turkish attack. After weeks of effort on both sides, it is clear stalemate has been reached.",161,,Military,,
23/05/1915,,Italy declares war on Austria-Hungary and moves to secure strategically important points along their shared border,162,,Political,,
25/05/1915,,"Coalition government formed by the British Prime Minister Herbert Asquith as tensions rise over his handling of the war. David Lloyd George, the former Chancellor of the Exchequer, appointed Minister of Munitions to increase the production of weapons and ammunition.",163,,Social,,
31/05/1915,,First German airship raid on London. 7 people are killed and 35 injured.,164,,Aviation,,
01/06/1915,,Increasing numbers of women start to be employed in British munitions factories,165,,Social,,
22/06/1915,,Austro-Hungarian forces recapture the city of Lemberg (Lvov) from the Russians,166,,Military,,
23/06/1915,,"First Battle of the Isonzo. Italian troops attack Austro-Hungarians in north-eastern Italy, aiming to reach Trieste. Disappointing results but operations continue until 7 July.",167,,Military,,
09/07/1915,,German South-West Africa surrenders to South African forces led by General Louis Botha,168,,Military,,
13/07/1915,,Germans and Austro-Hungarians launch a major offensive against the Russians,169,,Military,,
15/07/1915,,"National Registration Act introduced in Britain, obliging all elgible men to register for military service",170,,Social,,
18/07/1915,,Second Battle of the Isonzo. Second in a series of eleven battles launched along the Isonzo river in north-eastern Italy. Fighting on the Isonzo continues until October 1917.,171,,Military,,
28/07/1915,,Pope Benedict XV issues call for peace to all those fighting ,172,,Social,,
06/08/1915,,"Second landing at Gallipoli. After all attempts to move inland have been defeated, a new British landing is made at Suvla Bay, linked to an assault on the hills beyond the Australian and New Zealand position. The operations fail.",173,,Military,,
16/08/1915,,"Whitehaven in Cumberland, on Britain's west coast, shelled by a German U-boat",174,,Naval,,
25/08/1915,,German and Austro-Hungarian forces capture the fortress of Brest-Litovsk in Russian Poland,175,,Military,,
25/09/1915,,"Co-ordinated Allied offensive in France, with French attacks in the Second Battle of Champagne and Third Battle of Artois, and British attacks at the Battle of Loos. The fighting at Loos carries on until 4 November.",176,,Military,,
01/10/1915,,"German Fokker aircraft deployed in numbers along the Western Front. Able to fire directly forward by shooting through the propellor arc, the Fokker establishes German air superiority until Spring 1916.",177,,Aviation,,
05/10/1915,,"British and French troops land in the Greek city of Salonika to support Serbia, by threatening the southern flank of Bulgaria",178,,Military,,
06/10/1915,,Austria-Hungary launches its third invasion of Serbia,179,,Military,,
09/10/1915,,Belgrade captured by the Austro-Hungarians,180,,Military,,
12/10/1915,,"In Brussels the Germans execute the British nurse, Edith Cavell, for espionage and aiding escaped prisoners",181,,Social,,
14/10/1915,,"Bulgaria declares war on Serbia and enters the war on the side of Germany, Austria-Hungary and Turkey",182,,Political,,
15/10/1915,,General Sir Ian Hamilton is replaced in command at Gallipoli by General Sir Charles Monro,183,,Military,,
10/11/1915,,Indian infantry begins to leave France in order to transfer to Mesopotamia,184,,Social,,
22/11/1915,,Serbia defeated by combined armies of Austria-Hungary and Bulgaria. Serbian troops forced to retreat through Albania to the Adriatic coast.,185,,Military,,
22/11/1915,,"Battle of Ctesiphon. In Mesopotamia, Turkish forces stop the Anglo-Indian advance on Baghdad only 40 km (25 miles) south of the city.",186,,Military,,
27/11/1915,,No-Conscription Fellowship holds its first national meeting in London to resist forcible conscription into the army and support conscientious objectors,187,,Social,,
30/11/1915,,"Britain, France, Russia, Japan and Italy jointly renew the Pact of London",188,,Political,,
07/12/1915,,"Siege of Kut begins. After their defeat at Ctesiphon, Anglo-Indian troops fall back on Kut al Amara where they are surrounded by Turkish forces. They eventually surrender on 29 April 1916.",189,,Military,,
